dataset,threshold,model,size_B,exp1_acc_mean,exp1_acc_std,exp1_acc_range,exp1_flip_rate,exp1_var_ratio
arc_challenge,baseline,LLaMA-3.1-8B,8,0.7918518518518519,0.03505238094838768,0.10333333333333339,0.35,2.2531678138912103
arc_challenge,baseline,Qwen2.5-7B,7,0.8692196209587514,0.05249198405020472,0.20333333333333325,0.41333333333333333,7.459223725048514
arc_challenge,baseline,Qwen3-32B,32,0.9164814814814815,0.05213316546129814,0.14666666666666672,0.30333333333333334,11.002106428341245
arc_challenge,baseline,Qwen2.5-72B,72,0.8955555555555557,0.1145361013764591,0.33333333333333337,0.4866666666666667,48.82829859227362
arc_challenge,remove_10pct,LLaMA-3.1-8B,8,0.8495884773662552,0.025900601649603512,0.0888888888888888,0.3037037037037037,1.424135500045637
arc_challenge,remove_10pct,Qwen2.5-7B,7,0.9216049382716052,0.0565379532841501,0.21851851851851856,0.37407407407407406,12.472192978885229
arc_challenge,remove_10pct,Qwen3-32B,32,0.9362139917695473,0.04543739159245099,0.12962962962962965,0.26666666666666666,9.617854448431006
arc_challenge,remove_10pct,Qwen2.5-72B,72,0.9117283950617284,0.11246940683790572,0.32592592592592595,0.45555555555555555,49.99839611736
arc_challenge,remove_20pct,LLaMA-3.1-8B,8,0.9166666666666666,0.019690898442719196,0.0708333333333333,0.25833333333333336,1.2274799948395927
arc_challenge,remove_20pct,Qwen2.5-7B,7,0.9453703703703705,0.05709480299898105,0.22499999999999998,0.32916666666666666,16.101971446472717
arc_challenge,remove_20pct,Qwen3-32B,32,0.9562500000000002,0.04303875120096157,0.125,0.2375,11.023680104821082
arc_challenge,remove_20pct,Qwen2.5-72B,72,0.919675925925926,0.10657227409426967,0.3208333333333333,0.425,43.75238417492814
arc_challenge,remove_30pct,LLaMA-3.1-8B,8,0.9555555555555553,0.012698412698412698,0.042857142857142816,0.17142857142857143,0.8000972984322919
arc_challenge,remove_30pct,Qwen2.5-7B,7,0.9574074074074073,0.04645324869144213,0.1952380952380952,0.2761904761904762,11.689706550035343
arc_challenge,remove_30pct,Qwen3-32B,32,0.96031746031746,0.031266215243797156,0.09047619047619049,0.20476190476190476,5.518976227992286
arc_challenge,remove_30pct,Qwen2.5-72B,72,0.9251322751322751,0.0978067051050492,0.29999999999999993,0.40476190476190477,33.675662492620425
mmlu_pro,baseline,LLaMA-3.1-8B,8,0.3993907979239964,0.03771960148312025,0.12369846878680801,0.66,1.7344170655579685
mmlu_pro,baseline,Qwen2.5-7B,7,0.45307142913708315,0.029632090634961084,0.10265970668655239,0.67,1.0608882739088659
mmlu_pro,baseline,Qwen3-32B,32,0.581576623331229,0.03345894397267882,0.13137019916680936,0.6566666666666666,1.3694991630909346
mmlu_pro,baseline,Qwen2.5-72B,72,0.5452188916705341,0.052937898038609474,0.21419146419146423,0.6266666666666667,3.413140864045799
mmlu_pro,remove_10pct,LLaMA-3.1-8B,8,0.40246038360135145,0.0345632546893521,0.11687574671445639,0.6370370370370371,1.3070859778468402
mmlu_pro,remove_10pct,Qwen2.5-7B,7,0.45068404413194213,0.03149743746799758,0.10854461662698578,0.6370370370370371,1.0802174911809632
mmlu_pro,remove_10pct,Qwen3-32B,32,0.5733163219449268,0.03530248738444111,0.13638411715009857,0.6518518518518519,1.359156196013548
mmlu_pro,remove_10pct,Qwen2.5-72B,72,0.5401355209665062,0.05939888431895318,0.22321252569626315,0.6074074074074074,3.880642610261785
mmlu_pro,remove_20pct,LLaMA-3.1-8B,8,0.41259088070911676,0.028066617972497456,0.10281531531531535,0.625,0.7550235584337417
mmlu_pro,remove_20pct,Qwen2.5-7B,7,0.45243777043550476,0.03953753600126637,0.13493282488568753,0.6,1.5164396523496595
mmlu_pro,remove_20pct,Qwen3-32B,32,0.5583658873361602,0.042333993210741286,0.17089218666189887,0.65,1.72868518631872
mmlu_pro,remove_20pct,Qwen2.5-72B,72,0.5351133805479964,0.06517629609858087,0.23031538296502896,0.5666666666666667,4.164260169901611
mmlu_pro,remove_30pct,LLaMA-3.1-8B,8,0.41845390437242636,0.028465213929558107,0.1066715010877447,0.5904761904761905,0.6822279718508434
mmlu_pro,remove_30pct,Qwen2.5-7B,7,0.46134723198602956,0.041504986425145156,0.13988858840117419,0.5619047619047619,1.4612035365270724
mmlu_pro,remove_30pct,Qwen3-32B,32,0.5403538086573171,0.04177119592259358,0.1739171023151606,0.6047619047619047,1.4554992054819205
mmlu_pro,remove_30pct,Qwen2.5-72B,72,0.5255677471443788,0.06370462788943823,0.21324378461175914,0.5095238095238095,3.4536438340799007
