Dataset,Model,Size_B,Acc_ALL,Std_ALL,Range_ALL,Flip_ALL,VarR_ALL,Acc_SURF,Std_SURF,Range_SURF,Flip_SURF,VarR_SURF
ARC-Challenge,Llama-3.1-8B,8,0.7919,0.0351,0.1033,0.3500,2.25,0.7817,0.0329,0.0933,0.2467,1.91
ARC-Challenge,Qwen2.5-7B,7,0.8692,0.0525,0.2033,0.4133,7.43,0.8938,0.0116,0.0433,0.0900,0.43
ARC-Challenge,Qwen3-32B,32,0.9165,0.0521,0.1467,0.3033,11.09,0.9438,0.0094,0.0267,0.0700,0.50
ARC-Challenge,Qwen2.5-72B,72,0.8956,0.1145,0.3333,0.4867,49.13,0.9560,0.0044,0.0133,0.0400,0.14
MMLU-Pro,Llama-3.1-8B,8,0.3994,0.0377,0.1237,0.6600,1.72,0.4027,0.0421,0.1237,0.5167,2.17
MMLU-Pro,Qwen2.5-7B,7,0.4531,0.0296,0.1027,0.6700,1.06,0.4626,0.0264,0.0734,0.4233,0.84
MMLU-Pro,Qwen3-32B,32,0.5816,0.0335,0.1314,0.6567,1.36,0.5967,0.0108,0.0351,0.4100,0.15
MMLU-Pro,Qwen2.5-72B,72,0.5452,0.0529,0.2142,0.6267,3.39,0.5696,0.0242,0.0682,0.3167,0.71
