dataset,threshold,model,size_B,exp1_acc_mean,exp1_acc_std,exp1_acc_range,exp1_flip_rate,exp1_var_ratio
arc_challenge,baseline,LLaMA-3.1-8B,8,0.7585185185185186,0.03661987287202451,0.10666666666666669,0.34,1.1081020951686316
arc_challenge,baseline,Qwen2.5-7B,7,0.8506611981108626,0.037857745488943786,0.14,0.36666666666666664,1.7254566410002516
arc_challenge,baseline,Qwen3-32B,32,0.9122222222222223,0.0485976171747312,0.14666666666666672,0.3,4.538268279694718
arc_challenge,baseline,Qwen2.5-72B,72,0.8914814814814815,0.10187878431794083,0.32000000000000006,0.4666666666666667,17.96558218538368
arc_challenge,remove_10pct,LLaMA-3.1-8B,8,0.8209876543209877,0.0324998681014523,0.09629629629629632,0.2962962962962963,0.9765655415011804
arc_challenge,remove_10pct,Qwen2.5-7B,7,0.9044499723604201,0.043062525570807406,0.15555555555555556,0.31851851851851853,2.9631705265244688
arc_challenge,remove_10pct,Qwen3-32B,32,0.9263374485596708,0.03707588269226085,0.125925925925926,0.25925925925925924,2.776160846209498
arc_challenge,remove_10pct,Qwen2.5-72B,72,0.9028806584362141,0.09780049894658734,0.311111111111111,0.43703703703703706,16.718750467449016
arc_challenge,remove_20pct,LLaMA-3.1-8B,8,0.8791666666666668,0.02457195279576963,0.07499999999999996,0.26666666666666666,0.6890794700122568
arc_challenge,remove_20pct,Qwen2.5-7B,7,0.9527777777777777,0.04746668747398628,0.16666666666666663,0.275,6.321327811160341
arc_challenge,remove_20pct,Qwen3-32B,32,0.9597222222222224,0.031944444444444435,0.10833333333333328,0.21666666666666667,3.2342065710027845
arc_challenge,remove_20pct,Qwen2.5-72B,72,0.9226851851851853,0.10141002654681126,0.32499999999999996,0.425,20.297554997183607
arc_challenge,remove_30pct,LLaMA-3.1-8B,8,0.9455026455026455,0.018996109069858453,0.06666666666666665,0.19047619047619047,0.7431534807037753
arc_challenge,remove_30pct,Qwen2.5-7B,7,0.9592592592592593,0.043736487953296425,0.17142857142857137,0.24761904761904763,5.388436533009218
arc_challenge,remove_30pct,Qwen3-32B,32,0.9666666666666666,0.029482818446042384,0.09523809523809523,0.19047619047619047,2.907648518303347
arc_challenge,remove_30pct,Qwen2.5-72B,72,0.9306878306878308,0.09664597247960542,0.3047619047619047,0.4,17.72261854932434
mmlu_pro,baseline,LLaMA-3.1-8B,8,0.39377406314593055,0.040283577589506764,0.12555555555555553,0.64,1.0015002127017325
mmlu_pro,baseline,Qwen2.5-7B,7,0.43487989016272816,0.0314715702655355,0.11486486486486486,0.6133333333333333,0.6059900351806718
mmlu_pro,baseline,Qwen3-32B,32,0.5857652373212731,0.029702309665789496,0.10952380952380947,0.6533333333333333,0.536547633883251
mmlu_pro,baseline,Qwen2.5-72B,72,0.5446743230012644,0.054835733966882315,0.2390712860511518,0.6066666666666667,1.8226775075877053
mmlu_pro,remove_10pct,LLaMA-3.1-8B,8,0.40017236571964143,0.03676252606610795,0.11102181400688865,0.6222222222222222,0.7415488000780219
mmlu_pro,remove_10pct,Qwen2.5-7B,7,0.4370710632973878,0.03616160384895481,0.13528265107212473,0.5777777777777777,0.716021621483688
mmlu_pro,remove_10pct,Qwen3-32B,32,0.5661937469647114,0.03151584132975003,0.12239057239057238,0.6592592592592592,0.5377090262376348
mmlu_pro,remove_10pct,Qwen2.5-72B,72,0.5411317819147095,0.056905572105812756,0.25086971159241384,0.5777777777777777,1.7756446759426803
mmlu_pro,remove_20pct,LLaMA-3.1-8B,8,0.4075702188351995,0.03226210484338593,0.09952502740226526,0.6083333333333333,0.5092403982986652
mmlu_pro,remove_20pct,Qwen2.5-7B,7,0.4369860825203131,0.04008879860757373,0.16087570621468922,0.55,0.7793466855293977
mmlu_pro,remove_20pct,Qwen3-32B,32,0.5635140097673474,0.031009395541676022,0.12927350427350426,0.6333333333333333,0.4655939547596736
mmlu_pro,remove_20pct,Qwen2.5-72B,72,0.5280857163957862,0.05716912265339957,0.24027916251246256,0.5333333333333333,1.583050048454201
mmlu_pro,remove_30pct,LLaMA-3.1-8B,8,0.41268088390447044,0.033597559723136876,0.10317913573196269,0.5714285714285714,0.48707287933096727
mmlu_pro,remove_30pct,Qwen2.5-7B,7,0.4590155238927369,0.05047461817365934,0.18400369856680537,0.49523809523809526,1.0825893307066776
mmlu_pro,remove_30pct,Qwen3-32B,32,0.536297076709698,0.033658497497904664,0.13416551086453998,0.6285714285714286,0.4779663452082781
mmlu_pro,remove_30pct,Qwen2.5-72B,72,0.5099093238656346,0.06631237017868992,0.2596153846153846,0.5047619047619047,1.8597342465898787
